iter	Passed	Remaining
0	60	60547
1	61	30465
2	61	20419
3	61	15376
4	62	12350
5	62	10326
6	62	8890
7	62	7809
8	63	6968
9	63	6304
10	64	5762
11	64	5307
12	64	4921
13	65	4589
14	65	4301
15	65	4052
16	66	3827
17	66	3632
18	66	3455
19	67	3297
20	67	3155
21	68	3026
22	68	2910
23	68	2802
24	69	2698
25	69	2603
26	69	2516
27	70	2434
28	70	2359
29	70	2289
30	71	2228
31	71	2166
32	71	2108
33	72	2054
34	72	2004
35	73	1955
36	73	1910
37	73	1866
38	74	1824
39	74	1786
40	74	1750
41	75	1715
42	75	1681
43	75	1649
44	76	1618
45	76	1588
46	76	1560
47	77	1533
48	77	1506
49	77	1480
50	78	1456
51	78	1434
52	78	1410
53	79	1388
54	79	1367
55	79	1346
56	80	1326
57	80	1308
58	80	1290
59	81	1273
60	81	1257
61	82	1240
62	82	1226
63	82	1210
64	83	1194
65	83	1178
66	83	1163
67	83	1148
68	84	1135
69	84	1121
70	84	1107
71	84	1094
72	85	1081
73	85	1070
74	85	1059
75	86	1048
76	86	1037
77	86	1027
78	87	1017
79	87	1007
80	87	998
81	88	988
82	88	977
83	88	968
84	89	960
85	89	950
86	89	941
87	89	932
88	90	923
89	90	915
90	90	907
91	91	899
92	91	891
93	91	885
94	92	877
95	92	870
96	92	863
97	93	856
98	93	850
99	93	843
100	94	837
101	94	830
102	94	824
103	94	817
104	95	812
105	95	806
106	95	800
107	96	795
108	96	789
109	97	784
110	97	780
111	97	774
112	98	769
113	98	764
114	98	759
115	98	753
116	99	748
117	99	743
118	99	738
119	100	734
120	100	730
121	100	724
122	101	720
123	101	716
124	101	712
125	102	708
126	102	703
127	102	700
128	103	696
129	103	691
130	103	688
131	104	684
132	104	679
133	104	675
134	104	671
135	105	668
136	105	664
137	105	660
138	106	656
139	106	653
140	106	649
141	106	644
142	107	641
143	107	637
144	107	634
145	107	630
146	108	627
147	108	624
148	108	621
149	109	618
150	109	615
151	109	611
152	109	608
153	110	605
154	110	603
155	110	600
156	111	597
157	111	594
158	111	591
159	112	588
160	112	585
161	112	582
162	112	579
163	113	576
164	113	574
165	113	572
166	114	569
167	114	566
168	114	564
169	115	562
170	115	560
171	115	557
172	116	555
173	116	553
174	117	551
175	117	549
176	117	547
177	118	545
178	118	543
179	118	540
180	119	539
181	119	536
182	119	535
183	120	533
184	120	530
185	120	528
186	121	526
187	121	524
188	121	522
189	122	520
190	122	518
191	122	516
192	122	514
193	123	512
194	123	510
195	124	509
196	124	507
197	124	505
198	125	503
199	125	501
200	125	500
201	126	498
202	126	496
203	126	495
204	127	493
205	127	491
206	127	490
207	128	488
208	128	486
209	128	485
210	129	483
211	129	482
212	130	481
213	130	479
214	130	478
215	131	476
216	131	474
217	131	473
218	132	471
219	132	470
220	132	468
221	133	467
222	133	465
223	134	464
224	134	463
225	134	461
226	135	460
227	135	458
228	135	457
229	136	456
230	136	455
231	137	454
232	137	452
233	137	451
234	138	449
235	138	448
236	138	447
237	139	445
238	139	444
239	139	443
240	140	441
241	140	440
242	140	439
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	431
249	143	430
250	143	428
251	143	427
252	144	426
253	144	425
254	145	423
255	145	422
256	145	421
257	145	419
258	146	418
259	146	417
260	147	416
261	147	415
262	147	413
263	147	412
264	148	410
265	148	409
266	148	408
267	149	407
268	149	406
269	149	404
270	150	403
271	150	402
272	150	401
273	150	399
274	151	398
275	151	397
276	151	396
277	152	394
278	152	393
279	152	392
280	152	391
281	153	390
282	153	388
283	153	387
284	154	386
285	154	385
286	154	384
287	155	383
288	155	382
289	155	381
290	155	379
291	156	378
292	156	377
293	156	376
294	156	375
295	157	373
296	157	372
297	157	371
298	157	370
299	158	369
300	158	367
301	158	366
302	158	365
303	159	364
304	159	363
305	159	362
306	160	361
307	160	360
308	160	359
309	160	357
310	161	356
311	161	356
312	161	355
313	162	354
314	162	353
315	162	351
316	162	350
317	163	349
318	163	348
319	163	347
320	163	346
321	164	345
322	164	344
323	164	343
324	165	342
325	165	341
326	165	340
327	165	339
328	166	338
329	166	337
330	166	336
331	166	335
332	167	334
333	167	334
334	167	333
335	168	332
336	168	331
337	168	330
338	168	329
339	169	328
340	169	327
341	169	326
342	170	325
343	170	324
344	170	323
345	170	322
346	171	322
347	171	321
348	171	320
349	171	319
350	172	318
351	172	317
352	172	316
353	173	315
354	173	314
355	173	313
356	173	313
357	174	312
358	174	311
359	174	310
360	175	310
361	175	309
362	175	308
363	176	308
364	176	307
365	176	306
366	177	305
367	177	304
368	177	303
369	177	302
370	178	301
371	178	301
372	178	300
373	178	299
374	179	298
375	179	297
376	179	296
377	179	295
378	180	294
379	180	294
380	180	293
381	180	292
382	181	291
383	181	290
384	181	289
385	181	289
386	182	288
387	182	287
388	182	286
389	182	286
390	183	285
391	183	284
392	183	283
393	184	283
394	184	282
395	184	281
396	184	280
397	185	280
398	185	279
399	185	278
400	186	278
401	186	277
402	186	276
403	187	275
404	187	275
405	187	274
406	188	274
407	188	273
408	188	273
409	189	272
410	190	272
411	190	272
412	191	271
413	191	271
414	191	270
415	192	269
416	192	269
417	192	268
418	193	267
419	193	267
420	193	266
421	194	265
422	194	265
423	194	264
424	195	263
425	195	263
426	195	262
427	196	262
428	196	261
429	196	260
430	197	260
431	197	259
432	197	259
433	198	258
434	198	257
435	198	257
436	198	256
437	199	255
438	199	254
439	199	254
440	200	253
441	200	253
442	200	252
443	200	251
444	201	251
445	201	250
446	201	249
447	202	249
448	202	248
449	202	247
450	203	247
451	203	246
452	203	245
453	203	245
454	204	244
455	204	244
456	204	243
457	205	242
458	205	242
459	205	241
460	205	240
461	206	240
462	206	239
463	206	238
464	206	238
465	207	237
466	207	236
467	207	236
468	207	235
469	208	234
470	208	234
471	208	233
472	208	232
473	209	232
474	209	231
475	209	230
476	209	230
477	210	229
478	210	228
479	210	228
480	210	227
481	211	226
482	211	226
483	211	225
484	211	225
485	212	224
486	212	223
487	212	223
488	213	222
489	213	222
490	213	221
491	213	220
492	214	220
493	214	219
494	214	219
495	214	218
496	215	217
497	215	217
498	215	216
499	216	216
500	216	215
501	216	214
502	216	214
503	217	213
504	217	213
505	217	212
506	217	211
507	218	211
508	218	210
509	218	209
510	218	209
511	219	208
512	219	208
513	219	207
514	219	207
515	220	206
516	220	205
517	220	205
518	220	204
519	221	204
520	221	203
521	221	203
522	222	202
523	222	201
524	222	201
525	222	200
526	223	200
527	223	199
528	223	199
